day_succ,Status,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,curr1,curr2,curr3,curr4,curr5,curr6,goal,backers,pledged,duration,updates,comments,rewards,facebook_connected,facebook_friends,facebook_shares,has_video,creator_projects_created,creator_projects_backed,videos,images,words_description,words_risks_and_challenges,faqs,prj_prom,crt_suc_perc,usr_net_pg_rnk,usr_net_nodes,usr_net_tie,usr_net_bic,1f_plg,1f_bck,1prj_prom,2f_plg,2f_bck,2prj_prom,3f_plg,3f_bck,3prj_prom
30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0345740019,-0.2164223714,-0.1400518507,-0.1404980359,-0.4282350994,-0.0594641772,0.1608611688,1,0.1880044133,-0.1461707609,0,-0.2044518859,0,-0.2572658087,0.3987886211,-0.3395646496,-0.717035873,-0.3321085911,0,-0.5154235036,0,0,0,0,-0.2151298665,-0.1723029175,0,-0.2440024372,-0.1725177892,0,-0.2591851732,-0.1735167101,0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0308713559,5.5471958906,1.8459117082,0.5553768516,0.4742129128,0.2201240077,0.5003329278,1,0.1589229563,0.8416472935,1,-0.2044518859,0,-0.2572658087,1.4702157543,0.6958901637,0.1788625533,2.5976041045,2.3801906798,-0.5154235036,3.5645307947,3.3082843062,2.1820183453,6.1374212658,1.7841041071,11.3500099138,4.3744315108,1.9229308869,11.1564424593,7.2682935213,1.7851092125,10.1626725102,1.419542921
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0343106403,0.0092614762,-0.0179653897,-1.6316585094,1.5571505274,0.0174694844,1.3490123255,1,0.9538161126,-0.0610072656,1,1.7621339579,1.3940189809,7.7307145647,1.1780083543,-0.4958273163,-0.8097150205,0.1561768582,-0.135905888,-0.5154235036,0.7764858497,-0.036545629,-0.1975968283,-0.0781132405,6.4052842755,0.1971774227,-0.2650492466,6.9371138113,0.1736727587,-0.2808881387,7.4286665858,0.1623775509,0.5803953381
13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0323354283,-0.1801235707,-0.1144950169,-1.7310692076,-0.0672558945,-0.0632170388,-1.1970258675,1,1.215549225,-0.0747433132,1,-0.2044518859,0,-0.2572658087,-0.672638512,-0.6881505984,-0.8200127036,-0.3321085911,-0.3515713081,-0.5154235036,-0.6175366228,-0.3886329906,-0.4139254805,-0.4437329174,-0.1495812116,-0.165460689,-0.2650492466,0.007966554,-0.1574660262,-0.2808881387,-0.041707047,-0.1565094058,0.5803953381
30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0270681963,-0.2037967016,-0.1358327425,-0.1404980359,-0.6087247018,-0.061340608,-1.3667617471,1,5.7716441448,-0.1128117881,1,-0.2044518859,-0.1643263052,-0.2572658087,-0.672638512,-0.9354233896,-1.0362640479,-0.3321085911,-0.135905888,-0.5154235036,0.0794746134,0.0514762114,-0.0533777269,-0.0781132405,-0.2970656851,-0.165460689,-0.2650492466,-0.306994685,-0.1675005349,0.2223906386,-0.3135547047,-0.169264884,-0.2587522448
44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0479898599,-0.2164223714,-0.140243049,1.2512517392,-0.4282350994,-0.0632170388,-0.8575541085,0,0,-0.1559822235,1,-0.2044518859,0,-0.2572658087,-0.672638512,-0.6332010892,-0.6140590424,-0.3321085911,0,-0.5154235036,0,0,0,0,-0.3134528488,-0.179145146,0,-0.3195931345,-0.1775350435,0,-0.324428611,-0.1777685362,0
22,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.0283850043,0.1086886259,-0.0550578518,-0.1404980359,-0.247745497,-0.0632170388,0.3305970483,1,1.8885772283,0.2031173076,1,-0.2044518859,-0.219981494,2.0250142979,-0.3804311121,0.1515465885,-0.6964405069,-0.3321085911,0.9424212125,-0.5154235036,0.0794746134,1.283781977,1.3888132875,0.8359359516,-0.1495812116,-0.0765117182,0.1567217313,-0.105419492,-0.0822072115,1.7322269706,-0.0960765786,-0.071472884,-0.2587522448
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.0020488442,1.5795791572,0.7099263783,-1.7310692076,1.3766609249,3.3124819191,-1.1970258675,0,0,-0.0154820791,1,3.7287198018,1.2827086034,0.8838742446,2.0546305542,0.2528597461,0.6113652418,-0.3321085911,0,0,0,0,0,0,1.8168784345,4.6856793332,0,1.406394455,3.5703539315,0,1.2414138972,3.1556631169,0
30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0440394359,-0.2037967016,-0.1252785987,-0.1404980359,-0.4282350994,-0.061340608,-0.3483464699,1,1.6891615236,-0.0366748383,1,-0.2044518859,0,-0.2572658087,1.0806058877,1.9408399807,1.2292262254,-0.3321085911,0,-0.5154235036,0,0,0,0,-0.3134528488,-0.1586184604,0,-0.3195931345,-0.1624832805,0,-0.324428611,-0.1607612318,0
30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.0283850043,-0.1280426828,-0.1225253437,-0.1404980359,-0.0672558945,-0.0500820234,0.5003329278,0,0,-0.1132042466,1,-0.2044518859,-0.1086711164,5.448434458,1.3728132876,1.3432640685,0.6216629249,1.1327477567,-0.0640174146,-0.5154235036,0.0794746134,0.1394980518,-0.0533777269,-0.2609230789,-0.1495812116,-0.02177389,1.0002636872,-0.1558132903,-0.0370519226,-0.2808881387,-0.1504461101,-0.0374582753,0.5803953381
